holo_name,mse_re,mse_im,psnr_abs
CGH_Venus_r_0.2957_[0.50;0.50].png,0.079108,0.079196,14.498500
CGH_Venus_g_0.2957_[0.50;0.50].png,0.080280,0.080303,14.628513
CGH_Venus_b_0.2957_[0.50;0.50].png,0.077991,0.077962,14.412494
CGH_Biplane16k_rgb_r_0.0455_[0.50;0.50].png,0.096038,0.096045,13.675732
CGH_Biplane16k_rgb_g_0.0455_[0.50;0.50].png,0.077972,0.077957,14.676064
CGH_Biplane16k_rgb_b_0.0455_[0.50;0.50].png,0.039030,0.039035,17.640680
DeepDices16K_b_0.0185_[1.00;1.00].png,0.112328,0.112312,13.011320
DeepDices16K_r_0.0185_[1.00;1.00].png,0.112444,0.112418,13.007116
DeepDices16K_g_0.0185_[1.00;1.00].png,0.112321,0.112297,13.011242
DeepDices16K_b_0.0185_[1.00;1.00].png,0.112328,0.112312,13.011320
DeepDices16K_r_0.45_[1.00;1.00].png,0.112432,0.112417,13.006333
DeepDices16K_r_0.045_[1.00;1.00].png,0.112447,0.112445,13.007946
DeepDices2K_r_0.045_[1.00;1.00].png,1820.799927,3007.929443,-34.502514
DeepDices2K_r_0.087_[0.00;0.00].png,3958.750000,7445.783203,-30.503616
CGH_Biplane16k_rgb_r_0.0455_[1.00;0.00].png,0.096038,0.096045,13.675732
CGH_Biplane16k_rgb_g_0.0455_[1.00;0.00].png,0.077972,0.077957,14.676064
CGH_Biplane16k_rgb_b_0.0455_[1.00;0.00].png,0.039030,0.039035,17.640680
